tipo_cruzamento,cidade,radar_leman_id,radar_leman_area_m2,radar_leman_link,concorrencia_agencia,concorrencia_url,concorrencia_area_m2,diferenca_area_pct,divisoes_compativeis,radar_leman_endereco,radar_leman_surface_m2,radar_leman_surface_terrain_m2,radar_leman_nb_pieces,concorrencia_superficie_m2,concorrencia_superficie_terreno_m2,concorrencia_num_divisoes,diferenca_habitavel_pct,diferenca_terreno_pct,bate_por,diferenca_relevante_pct
apartamento,Évian-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.394472,6.578997",Nestenn Évian,https://immobilier-evian-les-bains.nestenn.com/programme-neuf-evian-les-bains-du-t2-au-t4-ref-39323957,,,True,"16 Route Du Golf, 74500 Évian-les-Bains",48.0,732.0,2.0,48.0,,2.0,0.0,,habitavel,0.0
apartamento,Évian-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.400365,6.591872",Nestenn Évian,https://immobilier-evian-les-bains.nestenn.com/programme-neuf-evian-les-bains-du-t2-au-t4-ref-39323960,,,True,"30 Rue Nationale, 74500 Évian-les-Bains",50.0,224.0,2.0,50.0,,2.0,0.0,,habitavel,0.0
apartamento,Évian-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.398698,6.581014",Nestenn Évian,https://immobilier-evian-les-bains.nestenn.com/programme-neuf-evian-les-bains-du-t2-au-t4-ref-39323966,,,True,"27 Avenue De La Gare, 74500 Évian-les-Bains",58.0,948.0,3.0,58.0,,3.0,0.0,,habitavel,0.0
apartamento,Évian-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.393252,6.580568",Nestenn Évian,https://immobilier-evian-les-bains.nestenn.com/superbe-t2-lumineux-avec-vue-lac-proche-centre-et-embarcadere-ref-39502529,,,True,"2 Chemin De Thony, 74500 Évian-les-Bains",51.0,2955.0,2.0,51.0,,2.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.371555,6.481151",Agence Lehmann,https://lehmann-immo.com/fr/propriete/vente+appartement+thonon-les-bains+bel-appartement-4-pieces-avec-jardin-a-thonon-les-bains+87306178,,,True,"6 Rue des Granges, 74200 Thonon-les-Bains",82.0,1373.0,4.0,82.0,,4.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.371447,6.494305",Agence Barnoud Thonon,https://www.barnoud-immobilier.fr/vente/74-haute-savoie/1-thonon-les-bains/2-appartement/t2/11354-appartement-de-type-2-a-vendre-a-thonon-les-bains/,,,,"27 Route de Tully, 74200 Thonon-les-Bains",46.0,5639.0,2.0,46.0,,,0.0,,habitavel,0.0
apartamento,Évian-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.400232,6.588835",Agence Barnoud Évian,https://www.barnoud-immobilier.fr/vente/74-haute-savoie/2-evian-les-bains/2-appartement/t2/10698-t2-60-m-vue-lac-parking-hyper-centre-evian-les-bains/,,,,"1 Avenue Docteur Dumur, 74500 Évian-les-Bains",60.0,318.0,1.0,60.0,,,0.0,,habitavel,0.0
apartamento,Évian-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.399998,6.587567",CENTURY 21 Chablais Léman Évian,https://www.century21-chablais-leman-evian.com/trouver_logement/detail/11245758109/,,,True,"40 Avenue Commandant Madelaine, 74500 Évian-les-Bains",60.0,78.0,3.0,60.0,,3.0,0.0,,habitavel,0.0
apartamento,Évian-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.399998,6.587567",CENTURY 21 Chablais Léman Évian,https://www.century21-chablais-leman-evian.com/trouver_logement/detail/11245814138/,,,True,"40 Avenue Commandant Madelaine, 74500 Évian-les-Bains",60.0,78.0,3.0,60.0,,3.0,0.0,,habitavel,0.0
apartamento,Évian-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.399998,6.587567",CENTURY 21 Chablais Léman Évian,https://www.century21-chablais-leman-evian.com/trouver_logement/detail/11245834972/,,,True,"40 Avenue Commandant Madelaine, 74500 Évian-les-Bains",60.0,78.0,3.0,60.0,,3.0,0.0,,habitavel,0.0
apartamento,Évian-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.400932,6.594888",CENTURY 21 Chablais Léman Évian,https://www.century21-chablais-leman-evian.com/trouver_logement/detail/12331772638/,,,True,"6 Avenue Jean Leger, 74500 Évian-les-Bains",100.0,40.0,4.0,100.0,,4.0,0.0,,habitavel,0.0
apartamento,Évian-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.397049,6.58599",CENTURY 21 Chablais Léman Évian,https://www.century21-chablais-leman-evian.com/trouver_logement/detail/13879976541/,,,True,"2 Chemin De Chez Roch, 74500 Évian-les-Bains",74.0,803.0,4.0,74.0,,4.0,0.0,,habitavel,0.0
apartamento,Évian-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.394472,6.578997",CENTURY 21 Chablais Léman Évian,https://www.century21-chablais-leman-evian.com/trouver_logement/detail/16154726461/,,,True,"16 Route Du Golf, 74500 Évian-les-Bains",48.0,732.0,2.0,48.0,,2.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.383733,6.491451",CENTURY 21 Chablais-Léman Thonon,https://www.century21-chablais-leman-thonon.com/trouver_logement/detail/15273884285/,,,True,"38 Chemin des Tréflons, 74200 Thonon-les-Bains",68.0,705.0,3.0,68.0,,3.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.383733,6.491451",CENTURY 21 Chablais-Léman Thonon,https://www.century21-chablais-leman-thonon.com/trouver_logement/detail/15273893649/,,,True,"38 Chemin des Tréflons, 74200 Thonon-les-Bains",68.0,705.0,3.0,68.0,,3.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.383733,6.491451",CENTURY 21 Chablais-Léman Thonon,https://www.century21-chablais-leman-thonon.com/trouver_logement/detail/15273980963/,,,True,"38 Chemin des Tréflons, 74200 Thonon-les-Bains",68.0,705.0,3.0,68.0,,3.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.367875,6.48576",CENTURY 21 Chablais-Léman Thonon,https://www.century21-chablais-leman-thonon.com/trouver_logement/detail/16350251916/,,,True,"13 Avenue de l’Ermitage, 74200 Thonon-les-Bains",60.0,765.0,3.0,60.0,,3.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.366271,6.460404",Dupraz Immobilier Thonon,https://www.dupraz-immobilier.com/ville_bien/fiches/3-33-29_60896304/t3-de-76-m2-avec-terrasse-de-25-m2-garage-cave-et-stationnement.html,,,,"1 Impasse du Vernay, 74200 Thonon-les-Bains",76.0,350.0,4.0,76.0,,,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.383733,6.491451",A&P Immobilier,https://www.immobilierapi.com/vente/1-thonon-les-bains/appartement/t3/864-thonon-les-bains-magnifique-appartement-t3-en-centre-au-calme-a-saisir/,,,True,"38 Chemin des Tréflons, 74200 Thonon-les-Bains",68.0,705.0,3.0,68.0,,3.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.382735,6.50347",A&P Immobilier,https://www.immobilierapi.com/vente/1-thonon-les-bains/appartement/t3/894-thonon-les-bains-nouvelle-exclusivite-t3-en-rez-de-jardin-a-decouvrir/,,,True,"4 Rue du Vieux Pont, 74200 Thonon-les-Bains",63.0,202.0,3.0,63.0,,3.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.366209,6.468786",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/appartement-1-piece-52558600,,,True,"1 Avenue du Forchat, 74200 Thonon-les-Bains",19.0,380.0,1.0,19.0,,1.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.372488,6.477264",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/appartement-1-piece-52558799,,,True,"6 Place Henri Bordeaux, 74200 Thonon-les-Bains",20.0,115.0,1.0,20.0,,1.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.366209,6.468786",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/appartement-1-piece-52558857,,,True,"1 Avenue du Forchat, 74200 Thonon-les-Bains",19.0,380.0,1.0,19.0,,1.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.370378,6.496265",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/appartement-1-piece-52803989,,,True,"7 Avenue du Clos Rouge, 74200 Thonon-les-Bains",16.0,1205.0,1.0,16.0,,1.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.377153,6.488505",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/appartement-2-pieces-52196464,,,True,"2 Rue des Murs Blancs, 74200 Thonon-les-Bains",48.0,884.0,2.0,48.0,,2.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.366354,6.490098",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/appartement-2-pieces-52196779,,,True,"36 Avenue de l’Ermitage, 74200 Thonon-les-Bains",45.0,8402.0,2.0,45.0,,2.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.377153,6.488505",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/appartement-2-pieces-52232479,,,True,"2 Rue des Murs Blancs, 74200 Thonon-les-Bains",48.0,884.0,2.0,48.0,,2.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.364345,6.477834",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/appartement-2-pieces-52534317,,,True,"2 Rue des Charmilles, 74200 Thonon-les-Bains",40.0,460.0,2.0,40.0,,2.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.380868,6.486993",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/appartement-2-pieces-52558897,,,True,"29 Avenue des Ducs de Savoie, 74200 Thonon-les-Bains",34.0,174.0,2.0,34.0,,2.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.364274,6.48539",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/appartement-2-pieces-52623760,,,True,"27 Chemin des Marmottés, 74200 Thonon-les-Bains",36.0,592.0,2.0,36.0,,2.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.364732,6.465726",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/appartement-3-pieces-52196857,,,True,"2 Chemin des Voirons, 74200 Thonon-les-Bains",65.0,505.0,3.0,65.0,,3.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.383733,6.491451",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/appartement-3-pieces-52196898,,,True,"38 Chemin des Tréflons, 74200 Thonon-les-Bains",68.0,705.0,3.0,68.0,,3.0,0.0,,habitavel,0.0
